Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Output1
12.0,-26.0,10.0,7.0,3.0,1.0,0.5,8.0,0.8333333333333334,-2.1666666666666665,1.0,0.0
12.0,-30.0,10.0,7.0,3.0,0.0,0.3333333333333333,8.0,0.6666666666666666,-2.6666666666666665,0.0,0.0
13.0,-32.0,10.0,7.0,3.0,0.0,0.3333333333333333,7.0,0.8333333333333334,-2.5,0.0,1.0
14.0,-32.0,13.0,10.0,3.0,3.0,0.6666666666666666,7.0,0.6666666666666666,-2.1666666666666665,1.0,0.5
14.0,-32.0,14.0,11.0,3.0,1.0,0.8333333333333334,6.0,0.5,-1.5,1.0,1.0
17.0,-32.0,17.0,11.0,6.0,3.0,1.3333333333333333,6.0,1.0,-1.1666666666666667,0.0,0.0
19.0,-35.0,17.0,11.0,6.0,0.0,1.1666666666666667,5.0,1.1666666666666667,-1.5,1.0,0.5
22.0,-38.0,18.0,11.0,7.0,1.0,1.3333333333333333,5.0,1.6666666666666667,-1.3333333333333333,0.0,1.0
24.0,-39.0,21.0,14.0,7.0,3.0,1.8333333333333333,5.0,1.8333333333333333,-1.1666666666666667,1.0,0.5
25.0,-40.0,22.0,14.0,8.0,1.0,1.5,5.0,1.8333333333333333,-1.3333333333333333,0.0,1.0
29.0,-41.0,25.0,14.0,11.0,3.0,1.8333333333333333,5.0,2.5,-1.5,0.0,0.5
30.0,-42.0,26.0,15.0,11.0,1.0,1.5,4.0,2.1666666666666665,-1.6666666666666667,1.0,0.5
31.0,-43.0,27.0,16.0,11.0,1.0,1.6666666666666667,3.0,2.0,-1.3333333333333333,1.0,0.0
32.0,-46.0,27.0,16.0,11.0,0.0,1.5,3.0,1.6666666666666667,-1.3333333333333333,0.0,1.0
34.0,-46.0,30.0,19.0,11.0,3.0,1.5,3.0,1.6666666666666667,-1.1666666666666667,1.0,0.0
35.0,-50.0,30.0,19.0,11.0,0.0,1.3333333333333333,3.0,1.6666666666666667,-1.6666666666666667,0.0,0.0
36.0,-54.0,30.0,19.0,11.0,0.0,0.8333333333333334,3.0,1.1666666666666667,-2.1666666666666665,0.0,0.0
36.0,-57.0,30.0,19.0,11.0,0.0,0.6666666666666666,3.0,1.0,-2.5,1.0,1.0
