Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15,Input16,Input17,Input18,Input19,Input20,Input21,Input22,Output1,Output2,Output3
5.0,15.0,4.0,0.0,4.0,1.0,0.8,20.0,0.4,1.0,0.0,12.0,17.0,13.0,7.0,6.0,3.0,1.4,10.0,1.6,1.8,0.0,1.0,0.0,0.0
21.0,11.0,22.0,13.0,9.0,0.0,2.0,2.0,2.0,1.6,0.0,11.0,22.0,10.0,10.0,0.0,0.0,1.2,15.0,1.4,3.4,0.0,1.0,0.0,0.0
10.0,12.0,11.0,6.0,5.0,1.0,1.0,14.0,1.4,1.4,0.0,24.0,13.0,18.0,12.0,6.0,3.0,1.8,5.0,2.2,1.2,1.0,1.0,0.0,0.0
12.0,15.0,11.0,8.0,3.0,0.0,1.6,14.0,1.6,1.0,0.0,13.0,8.0,17.0,10.0,7.0,1.0,1.6,8.0,1.4,1.0,0.0,0.0,1.0,0.0
10.0,22.0,12.0,12.0,0.0,0.0,1.2,13.0,1.6,2.6,1.0,8.0,22.0,8.0,7.0,1.0,1.0,0.8,18.0,0.6,2.0,1.0,1.0,0.0,0.0
14.0,15.0,11.0,5.0,6.0,3.0,1.6,14.0,1.8,1.6,1.0,24.0,8.0,24.0,15.0,9.0,3.0,1.8,2.0,2.4,1.0,1.0,0.0,0.0,1.0
29.0,13.0,19.0,12.0,7.0,1.0,2.6,3.0,3.2,1.0,0.0,21.0,14.0,19.0,9.0,10.0,0.0,1.4,4.0,1.8,1.4,1.0,1.0,0.0,0.0
8.0,12.0,10.0,7.0,3.0,3.0,1.2,17.0,1.2,1.6,1.0,18.0,11.0,18.0,10.0,8.0,1.0,1.2,6.0,2.0,1.8,1.0,0.0,1.0,0.0
13.0,17.0,7.0,2.0,5.0,1.0,0.6,19.0,1.6,2.2,0.0,14.0,9.0,18.0,10.0,8.0,1.0,1.2,7.0,1.2,1.2,0.0,1.0,0.0,0.0
11.0,18.0,10.0,5.0,5.0,1.0,0.6,18.0,1.2,2.0,0.0,32.0,13.0,22.0,15.0,7.0,3.0,2.6,3.0,3.0,1.0,1.0,0.0,0.0,1.0
21.0,17.0,19.0,9.0,10.0,0.0,1.4,4.0,1.8,1.4,0.0,20.0,17.0,17.0,13.0,4.0,1.0,1.6,8.0,2.2,1.6,1.0,1.0,0.0,0.0
18.0,11.0,19.0,10.0,9.0,1.0,1.4,5.0,1.4,1.0,0.0,12.0,22.0,15.0,15.0,0.0,3.0,1.2,10.0,1.4,2.4,1.0,0.0,1.0,0.0
11.0,24.0,10.0,10.0,0.0,0.0,1.2,18.0,1.4,3.2,0.0,9.0,15.0,7.0,3.0,4.0,3.0,1.4,20.0,1.2,0.6,1.0,1.0,0.0,0.0
15.0,11.0,18.0,10.0,8.0,0.0,1.2,7.0,1.2,1.2,0.0,14.0,19.0,11.0,5.0,6.0,0.0,1.4,15.0,1.6,2.2,1.0,1.0,0.0,0.0
12.0,21.0,13.0,7.0,6.0,0.0,1.4,13.0,1.6,1.8,0.0,13.0,13.0,14.0,9.0,5.0,3.0,1.6,11.0,1.8,1.2,1.0,0.0,1.0,0.0
15.0,18.0,10.0,5.0,5.0,3.0,1.2,17.0,1.8,1.8,1.0,13.0,16.0,12.0,9.0,3.0,1.0,1.2,14.0,1.2,1.2,1.0,0.0,0.0,1.0
8.0,24.0,8.0,7.0,1.0,0.0,0.8,19.0,0.6,2.2,0.0,11.0,13.0,16.0,10.0,6.0,1.0,1.6,10.0,1.2,1.2,1.0,1.0,0.0,0.0
28.0,8.0,27.0,15.0,12.0,3.0,1.8,1.0,2.6,1.0,0.0,23.0,11.0,25.0,16.0,9.0,3.0,2.0,3.0,1.6,1.0,1.0,1.0,0.0,0.0
25.0,16.0,18.0,12.0,6.0,0.0,1.2,7.0,1.8,1.4,0.0,8.0,12.0,11.0,8.0,3.0,1.0,0.8,17.0,1.0,1.6,1.0,0.0,1.0,0.0
20.0,19.0,17.0,13.0,4.0,0.0,1.0,8.0,1.2,1.6,0.0,36.0,14.0,25.0,15.0,10.0,3.0,2.6,2.0,3.6,1.2,0.0,1.0,0.0,0.0
23.0,12.0,25.0,16.0,9.0,0.0,1.4,3.0,1.2,1.2,0.0,15.0,17.0,15.0,9.0,6.0,3.0,1.2,11.0,1.4,1.4,0.0,1.0,0.0,0.0
27.0,18.0,19.0,13.0,6.0,1.0,0.8,8.0,1.0,1.6,1.0,21.0,14.0,20.0,11.0,9.0,1.0,1.0,6.0,1.4,1.4,1.0,0.0,1.0,0.0
10.0,25.0,11.0,10.0,1.0,3.0,1.4,17.0,0.8,1.2,1.0,16.0,20.0,10.0,5.0,5.0,0.0,1.0,18.0,1.6,1.8,1.0,0.0,1.0,0.0
29.0,8.0,30.0,18.0,12.0,3.0,2.4,1.0,2.6,0.4,1.0,12.0,22.0,10.0,5.0,5.0,0.0,0.6,19.0,1.0,1.8,1.0,1.0,0.0,0.0
15.0,25.0,16.0,15.0,1.0,1.0,1.4,9.0,2.0,2.0,0.0,20.0,12.0,21.0,13.0,8.0,3.0,1.6,6.0,2.0,1.2,1.0,0.0,1.0,0.0
10.0,14.0,12.0,8.0,4.0,1.0,1.0,16.0,1.2,1.6,0.0,14.0,14.0,15.0,9.0,6.0,1.0,1.8,12.0,2.0,1.2,0.0,1.0,0.0,0.0
23.0,17.0,22.0,12.0,10.0,3.0,1.4,4.0,1.2,1.4,1.0,13.0,22.0,14.0,8.0,6.0,1.0,1.0,14.0,1.2,1.8,1.0,1.0,0.0,0.0
12.0,15.0,16.0,10.0,6.0,0.0,1.6,10.0,1.4,1.2,0.0,10.0,18.0,7.0,3.0,4.0,0.0,1.4,20.0,1.4,1.0,0.0,1.0,0.0,0.0
15.0,24.0,11.0,5.0,6.0,0.0,0.8,18.0,1.4,3.0,0.0,14.0,25.0,13.0,13.0,0.0,3.0,1.2,15.0,1.6,3.2,1.0,0.0,0.0,1.0
14.0,15.0,15.0,9.0,6.0,0.0,1.6,13.0,1.6,1.0,0.0,16.0,25.0,16.0,13.0,3.0,3.0,1.8,11.0,1.6,2.0,0.0,1.0,0.0,0.0
13.0,28.0,12.0,11.0,1.0,1.0,1.0,16.0,1.0,1.6,1.0,15.0,20.0,15.0,9.0,6.0,0.0,1.0,13.0,1.2,1.8,0.0,1.0,0.0,0.0
14.0,31.0,14.0,8.0,6.0,0.0,1.0,16.0,1.2,3.2,0.0,21.0,19.0,20.0,16.0,4.0,3.0,1.4,8.0,1.0,1.2,1.0,1.0,0.0,0.0
19.0,23.0,11.0,5.0,6.0,1.0,1.2,17.0,2.0,2.0,0.0,16.0,26.0,17.0,16.0,1.0,1.0,1.0,11.0,1.8,2.0,1.0,1.0,0.0,0.0
10.0,19.0,7.0,3.0,4.0,0.0,0.8,20.0,1.2,1.2,0.0,26.0,12.0,28.0,19.0,9.0,3.0,1.8,2.0,1.4,0.8,1.0,0.0,0.0,1.0
23.0,16.0,21.0,11.0,10.0,1.0,1.0,6.0,1.6,1.6,0.0,16.0,30.0,15.0,14.0,1.0,3.0,1.6,15.0,1.6,1.6,1.0,0.0,1.0,0.0
